No,Level,Kode_Acuan,Kode_2025,Judul_2025,Cakupan_2025,Tidak_Cakupan_2025,Kode_2020,Judul_2020,Cakupan_2020,Tidak_Cakupan_2020,Status
1,Kategori,A,,"A. PERTANIAN, KEHUTANAN, DAN PERIKANAN",,,,"A. PERTANIAN, KEHUTANAN DAN PERIKANAN","Kategori ini mencakup semua kegiatan ekonomi/lapangan usaha, yang meliputi pertanian tanaman pangan, perkebunan, hortikultura, peternakan, pemanenan hasil hutan serta penangkapan dan budidaya ikan/biota air. Kategori ini juga mencakup jasa penunjang masing-masing kegiatan ekonomi tersebut.",,BERUBAH (judul/definisi berbeda)
2,Golongan Pokok,1,1,"PERTANIAN TANAMAN, PETERNAKAN, PERBURUAN, DAN KEGIATAN JASA TERKAIT",,,1,"PERTANIAN TANAMAN, PETERNAKAN, PERBURUAN DAN KEGIATAN YBDI","Golongan pokok ini mencakup pertanian tanaman pangan, perkebunan dan hortikultura; usaha pemeliharaan hewan ternak dan unggas; perburuan dan penangkapan hewan dengan perangkap serta kegiatan penunjang ybdi yang ditujukan untuk dijual. Termasuk budidaya tanaman dan hewan ternak secara organik dan genetik. Kegiatan pertanian tidak mencakup kegiatan pengolahan dari komoditas pertanian, termasuk dalam Kategori C (Industri Pengolahan).","Kegiatan konstruksi lahan seperti pembuatan petak-petak sawah, irigasi saluran pembuangan air, serta pembersihan dan perbaikan lahan untuk pertanian tidak termasuk di sini, tetapi tercakup pada kategori konstruksi (F).",BERUBAH (judul/definisi berbeda)
3,Golongan,11,11,PERTANIAN TANAMAN SEMUSIM,"Golongan ini mencakup kegiatan penanaman tanaman yang berlangsung tidak lebih dari dua musim panen, termasuk penanaman tanaman untuk menghasilkan benih berupa biji/seed. Golongan ini juga mencakup kegiatan penanaman tanaman semusim di area atau lokasi hutan (agroforestry), termasuk penanaman tanaman semusim yang bertujuan untuk penyerapan dan penyimpanan karbon secara alami, serta penjualan kredit karbon atau sertifikat pengurangan emisi sebagai hasil dari kegiatan tersebut.",,11,PERTANIAN TANAMAN SEMUSIM,"Golongan ini mencakup penanaman tanaman yang tidak berlangsung lebih dari dua musim panen. Termasuk penanaman tanaman dalam berbagai media dan budidaya tanaman secara genetik, dan juga penanaman untuk tujuan pembibitan dan pembenihan.",,TETAP (judul sama)
4,Sub Golongan,111,111,"PERTANIAN SEREALIA (BUKAN PADI), ANEKA KACANG, DAN BIJI-BIJIAN PENGHASIL MINYAK",,,111,"PERTANIAN SEREALIA (BUKAN PADI), ANEKA KACANG DAN BIJI-BIJIAN PENGHASIL MINYAK","Subgolongan ini mencakup pertanian semua serealia, aneka kacang dan biji-bijian penghasil minyak di lahan terbuka, termasuk pertanian tanaman organik dan pertanian tanaman yang telah dimodifikasi. Pertanian tanaman ini sering dikombinasikan dalam unit pertanian.  Subgolongan ini mencakup : - Pertanian serealia seperti gandum, jagung, sorgum, gandum untuk membuat bir (barley), gandum hitam (rye), oats, millet dan serealia lainnya - Pertanian aneka kacang palawija, mencakup kacang kedelai, kacang tanah dan kacang hijau - Pertanian aneka kacang hortikultura, mencakup buncis, buncis besar, kacang panjang, cow peas, miju-miju, lupin, kacang polong, pigeon peas dan tanaman aneka kacang lainnya - Pertanian biji-bijian penghasil minyak, seperti biji kapas, biji castor, biji rami, biji mustard, niger seeds, rapeseed/canola, biji wijen, safflower seeds, biji bunga matahari dan tanaman penghasil minyak lainnya","Subgolongan ini tidak mencakup : - Pertanian jagung (maize) untuk makanan ternak, lihat 0119",BERUBAH (judul/definisi berbeda)
5,Kelompok (Kode KBLI),1111,1111,PERTANIAN JAGUNG,"Kelompok ini mencakup kegiatan pertanian jagung, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman jagung untuk menghasilkan benih berupa biji","Kelompok ini tidak mencakup pertanian jagung manis, lihat kelompok 01133",1111,PERTANIAN JAGUNG,"Kelompok ini mencakup usaha pertanian komoditas jagung mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman jagung. Termasuk kegiatan pembibitan dan pembenihan tanaman jagung.",,TETAP (judul sama)
6,Kelompok (Kode KBLI),1112,1112,PERTANIAN SEREALIA SELAIN PADI DAN JAGUNG,"Kelompok ini mencakup kegiatan pertanian serealia selain padi dan jagung, seperti gandum (wheat/oats), sorgum/cantel, barli (barley), gandum hitam (rye), dan jawawut. Pertanian serealia selain padi dan jagung yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang  dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman serealia selain padi dan jagung untuk menghasilkan benih berupa biji",,1112,PERTANIAN GANDUM,"Kelompok ini mencakup usaha pertanian gandum mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman serealia gandum, seperti sorgum/cantel, gandum (wheat/oats), jelai (barley), gandum hitam (rye), jawawut (millet) dan sejenisnya. Termasuk kegiatan pembibitan dan pembenihan tanaman gandum.",,BERUBAH (judul/definisi berbeda)
7,Kelompok (Kode KBLI),1113,1113,PERTANIAN KEDELAI,"Kelompok ini mencakup kegiatan pertanian kedelai, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan","Kelompok ini tidak mencakup pertanian kedelai sayur/edamame, lihat kelompok 01116",1113,PERTANIAN KEDELAI,"Kelompok ini mencakup usaha pertanian kedelai mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kedelai (kacang palawija). Termasuk kegiatan pembibitan dan pembenihan tanaman kedelai.",,TETAP (judul sama)
8,Kelompok (Kode KBLI),1114,1114,PERTANIAN KACANG TANAH,"Kelompok ini mencakup kegiatan pertanian kacang tanah, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1114,PERTANIAN KACANG TANAH,"Kelompok ini mencakup usaha pertanian kacang tanah mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kacang tanah (kacang palawija). Termasuk kegiatan pembibitan dan pembenihan tanaman kacang tanah.",,TETAP (judul sama)
9,Kelompok (Kode KBLI),1115,1115,PERTANIAN KACANG HIJAU,"Kelompok ini mencakup kegiatan pertanian kacang hijau, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1115,PERTANIAN KACANG HIJAU,"Kelompok ini mencakup usaha pertanian kacang hijau mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman kacang hijau (kacang palawija). Termasuk kegiatan pembibitan dan pembenihan tanaman kacang hijau.",,TETAP (judul sama)
10,Kelompok (Kode KBLI),1116,1116,"PERTANIAN ANEKA KACANG SELAIN KEDELAI, KACANG TANAH, DAN  KACANG HIJAU","Kelompok ini mencakup kegiatan pertanian aneka kacang lainnya, seperti buncis, buncis besar, kacang panjang, kapri, kecipir, miju-miju, lupin, kacang polong, kacang merah, koro, gude, dan kacang tunggak.  Pertanian aneka kacang yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan",,1116,PERTANIAN ANEKA KACANG HORTIKULTURA,"Kelompok ini mencakup usaha pertanian aneka kacang hortikultura mulai dari kegiatan pengolahan lahan, penanaman, pemeliharaan, dan juga pemanenan dan pasca panen jika menjadi satu kesatuan kegiatan tanaman aneka kacang hortikultura, seperti buncis, buncis besar, kacang panjang, kacang merah, gude, kara, kapri, kecipir, cow peas, miju-miju, lupin, kacang polong, pigeon peas dan tanaman aneka kacang lainnya. Termasuk kegiatan pembibitan dan pembenihan tanaman aneka kacang hortikultura.",,BERUBAH (judul/definisi berbeda)
