kec_id,kab_id,nama_kecamatan,created_at,updated_at
110101,1101,Bakongan,,
110102,1101,Kluet Utara,,
110103,1101,Kluet Selatan,,
110104,1101,Labuhan Haji,,
110105,1101,Meukek,,
110106,1101,Samadua,,
110107,1101,Sawang,,
110108,1101,Tapaktuan,,
110109,1101,Trumon,,
110110,1101,Pasi Raja,,
110111,1101,Labuhan Haji Timur,,
110112,1101,Labuhan Haji Barat,,
110113,1101,Kluet Tengah,,
110114,1101,Kluet Timur,,
110115,1101,Bakongan Timur,,
110116,1101,Trumon Timur,,
110117,1101,Kota Bahagia,,
110118,1101,Trumon Tengah,,
110201,1102,Lawe Alas,,
110202,1102,Lawe Sigala-Gala,,
110203,1102,Bambel,,
110204,1102,Babussalam,,
110205,1102,Badar,,
110206,1102,Babul Makmur,,
110207,1102,Darul Hasanah,,
110208,1102,Lawe Bulan,,
110209,1102,Bukit Tusam,,
110210,1102,Semadam,,
110211,1102,Babul Rahmah,,
110212,1102,Ketambe,,
110213,1102,Deleng Pokhkisen,,
110214,1102,Lawe Sumur,,
110215,1102,Tanoh Alas,,
110216,1102,Leuser,,
110301,1103,Darul Aman,,
110302,1103,Julok,,
110303,1103,Idi Rayeuk,,
110304,1103,Birem Bayeun,,
110305,1103,Serbajadi,,
110306,1103,Nurussalam,,
110307,1103,Peureulak,,
110308,1103,Rantau Selamat,,
110309,1103,Simpang Ulim,,
110310,1103,Rantau Peureulak,,
110311,1103,Pante Bidari,,
110312,1103,Madat,,
110313,1103,Indra Makmu,,
110314,1103,Idi Tunong,,
110315,1103,Banda Alam,,
110316,1103,Peudawa,,
110317,1103,Peureulak Timur,,
110318,1103,Peureulak Barat,,
110319,1103,Sungai Raya,,
110320,1103,Simpang Jernih,,
110321,1103,Darul Ihsan,,
110322,1103,Darul Falah,,
110323,1103,Idi Timur,,
110324,1103,Peunaron,,
110401,1104,Linge,,
110402,1104,Silih Nara,,
110403,1104,Bebesen,,
110407,1104,Pegasing,,
110408,1104,Bintang,,
110410,1104,Ketol,,
110411,1104,Kebayakan,,
110412,1104,Kute Panang,,
110413,1104,Celala,,
110417,1104,Laut Tawar,,
110418,1104,Atu Lintang,,
110419,1104,Jagong Jeget,,
110420,1104,Bies,,
110421,1104,Rusip Antara,,
110501,1105,Johan Pahwalan,,
110502,1105,Kaway XVI,,
110503,1105,Sungai Mas,,
110504,1105,Woyla,,
110505,1105,Samatiga,,
110506,1105,Bubon,,
110507,1105,Arongan Lambalek,,
110508,1105,Pante Ceureumen,,
110509,1105,Meureubo,,
110510,1105,Woyla Barat,,
110511,1105,Woyla Timur,,
110512,1105,Panton Reu,,
110601,1106,Lhoong,,
110602,1106,Lhoknga,,
110603,1106,Indrapuri,,
110604,1106,Seulimeum,,
110605,1106,Montasik,,
110606,1106,Sukamakmur,,
110607,1106,Darul Imarah,,
110608,1106,Peukan Bada,,
110609,1106,Mesjid Raya,,
110610,1106,Ingin Jaya,,
110611,1106,Kuta Baro,,
110612,1106,Darussalam,,
110613,1106,Pulo Aceh,,
110614,1106,Lembah Seulawah,,
110615,1106,Kota Jantho,,
110616,1106,Kota Cot Glie,,
110617,1106,Kuta Malaka,,
110618,1106,Simpang Tiga,,
110619,1106,Darul Kamal,,
110620,1106,Baitussalam,,
110621,1106,Krueng Barona Jaya,,
110622,1106,Leupung,,
110623,1106,Blang Bintang,,
110703,1107,Batee,,
110704,1107,Delima,,
110705,1107,Geumpang,,
110706,1107,Geulumpang Tiga,,
110707,1107,Indra Jaya,,
