provinsi_id,nama_provinsi,created_at,updated_at
11,ACEH,2026-07-15 01:40:31,2026-07-15 01:40:31
12,SUMATERA UTARA,2026-07-15 01:40:31,2026-07-15 01:40:31
13,SUMATERA BARAT,2026-07-15 01:40:31,2026-07-15 01:40:31
14,RIAU,2026-07-15 01:40:31,2026-07-15 01:40:31
15,JAMBI,2026-07-15 01:40:31,2026-07-15 01:40:31
16,SUMATERA SELATAN,2026-07-15 01:40:31,2026-07-15 01:40:31
17,BENGKULU,2026-07-15 01:40:31,2026-07-15 01:40:31
18,LAMPUNG,2026-07-15 01:40:31,2026-07-15 01:40:31
19,KEPULAUAN BANGKA BELITUNG,2026-07-15 01:40:31,2026-07-15 01:40:31
21,KEPULAUAN RIAU,2026-07-15 01:40:31,2026-07-15 01:40:31
31,DKI JAKARTA,2026-07-15 01:40:31,2026-07-15 01:40:31
32,JAWA BARAT,2026-07-15 01:40:31,2026-07-15 01:40:31
33,JAWA TENGAH,2026-07-15 01:40:31,2026-07-15 01:40:31
34,DAERAH ISTIMEWA YOGYAKARTA,2026-07-15 01:40:31,2026-07-15 01:40:31
35,JAWA TIMUR,2026-07-15 01:40:31,2026-07-15 01:40:31
36,BANTEN,2026-07-15 01:40:31,2026-07-15 01:40:31
51,BALI,2026-07-15 01:40:31,2026-07-15 01:40:31
52,NUSA TENGGARA BARAT,2026-07-15 01:40:31,2026-07-15 01:40:31
53,NUSA TENGGARA TIMUR,2026-07-15 01:40:31,2026-07-15 01:40:31
61,KALIMANTAN BARAT,2026-07-15 01:40:31,2026-07-15 01:40:31
62,KALIMANTAN TENGAH,2026-07-15 01:40:31,2026-07-15 01:40:31
63,KALIMANTAN SELATAN,2026-07-15 01:40:31,2026-07-15 01:40:31
64,KALIMANTAN TIMUR,2026-07-15 01:40:31,2026-07-15 01:40:31
65,KALIMANTAN UTARA,2026-07-15 01:40:31,2026-07-15 01:40:31
71,SULAWESI UTARA,2026-07-15 01:40:31,2026-07-15 01:40:31
72,SULAWESI TENGAH,2026-07-15 01:40:31,2026-07-15 01:40:31
73,SULAWESI SELATAN,2026-07-15 01:40:31,2026-07-15 01:40:31
74,SULAWESI TENGGARA,2026-07-15 01:40:31,2026-07-15 01:40:31
75,GORONTALO,2026-07-15 01:40:31,2026-07-15 01:40:31
76,SULAWESI BARAT,2026-07-15 01:40:31,2026-07-15 01:40:31
81,MALUKU,2026-07-15 01:40:31,2026-07-15 01:40:31
82,MALUKU UTARA,2026-07-15 01:40:31,2026-07-15 01:40:31
91,PAPUA,2026-07-15 01:40:31,2026-07-15 01:40:31
92,PAPUA BARAT,2026-07-15 01:40:31,2026-07-15 01:40:31
